condition,seed,step,grad_norm,loss,raw_reward,run
B,20260821,51,0.9630652070045471,-0.0006066153291612864,0.546875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,52,0.6613718867301941,0.006035282742232084,0.53515625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,53,0.5418758392333984,0.0701926201581955,0.546875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,54,1.0717426538467407,0.023278476670384407,0.50390625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,55,0.6225085854530334,0.03224185109138489,0.38671875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,56,0.5876040458679199,0.01511850580573082,0.5859375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,57,0.5265958905220032,0.02567979507148266,0.50390625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,58,0.6620361804962158,0.0317813940346241,0.61328125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,59,0.46042346954345703,0.023642906919121742,0.515625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
P,20260820,0,1.657288670539856,0.019366076216101646,0.36328125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,1,0.3458271324634552,0.018578043207526207,0.41796875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,2,0.6200300455093384,0.020654667168855667,0.33203125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,3,0.7208900451660156,0.037029966711997986,0.4375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,4,0.7176000475883484,0.01704692840576172,0.421875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,5,0.4147849380970001,0.011306876316666603,0.30078125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,6,2.1249780654907227,-0.004307588562369347,0.3359375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,7,0.658979058265686,-0.006364340893924236,0.54296875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,8,0.3186611831188202,0.026351578533649445,0.375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,9,1.4023536443710327,0.05234600603580475,0.44140625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,10,0.7800554037094116,0.010443337261676788,0.3046875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,11,0.4729806184768677,0.024677647277712822,0.39453125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,12,0.5448625087738037,-0.013692475855350494,0.41015625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,13,0.5448007583618164,0.0411333404481411,0.421875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,14,0.4783957600593567,0.0034639721270650625,0.3984375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,15,0.382961630821228,0.004186701029539108,0.30859375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,16,0.6346192359924316,0.014918753877282143,0.421875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,17,0.5665162801742554,-0.010715274140238762,0.46484375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,18,0.6354711055755615,0.0031808395870029926,0.37890625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,19,0.5140688419342041,0.03379341587424278,0.44921875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,20,1.4664984941482544,0.0034672534093260765,0.421875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,21,0.33377188444137573,0.005916297435760498,0.4140625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,22,0.6396245360374451,0.002075277268886566,0.484375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,23,3.112680196762085,-0.01413209829479456,0.34375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,24,0.5137876868247986,0.06425252556800842,0.43359375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,25,0.5141358375549316,0.028082268312573433,0.421875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,26,0.6359899640083313,0.020086826756596565,0.37890625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,27,0.5393784642219543,0.047575488686561584,0.37109375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,28,0.7855685353279114,0.06030670553445816,0.36328125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,29,0.5874793529510498,0.007172205951064825,0.46875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,30,0.9112779498100281,0.0033502771984785795,0.36328125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,31,0.6924687027931213,0.0032324527855962515,0.4140625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,32,1.0661262273788452,0.04899559170007706,0.39453125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,33,0.5546817779541016,0.062063492834568024,0.4609375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,34,0.6463537216186523,-0.0019169902661815286,0.41015625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,35,0.7478217482566833,0.026337971910834312,0.44921875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,36,0.8944726586341858,0.007076106499880552,0.48828125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,37,0.9309936165809631,0.004418583586812019,0.4765625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
P,20260820,38,0.5828108191490173,0.029945794492959976,0.48046875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-P60-GPU01247-seed20260820-attempt1
